Type,Magnitude,Place,Time,Updated,Ids,Coords,Felt,CDI,MMI,Alert,Tsunami,sig,rms,Size
earthquake,0.54,"50 km ESE of West Yellowstone, Montana",2022-01-05 18:54:44.750,2022-01-05 23:00:17.290,uu60476247,"[-110.5515, 44.444, 5.03]",,,,,0,4,0.13,12.225274725274726
earthquake,0.86,"50 km ESE of West Yellowstone, Montana",2022-01-05 18:54:07.700,2022-01-05 22:43:18.430,uu60476242,"[-110.5433333, 44.451, 3.69]",,,,,0,11,0.12,12.664835164835164
earthquake,4.0,"7 km S of Sumoto, Japan",2022-01-05 18:50:57.855,2022-03-12 23:19:10.040,us7000g9aq,"[134.9012, 34.279, 422.86]",,,,,0,246,0.64,16.978021978021978
earthquake,1.6,"12 km SSE of Cordova, Alaska",2022-01-05 18:47:19.421,2022-01-31 19:01:32.632,ak0228k37wm,"[-145.6663, 60.4371, 19.1]",,,,,0,39,0.49,13.681318681318682
earthquake,1.4,"17 km ESE of Clam Gulch, Alaska",2022-01-05 18:46:36.458,2022-01-31 19:01:20.800,ak0228k31ie,"[-151.1225, 60.1492, 56.8]",,,,,0,30,0.51,13.406593406593407
earthquake,3.52,"39 km SSE of Boca de Yuma, Dominican Republic",2022-01-05 18:46:15.470,2022-08-06 17:19:27.166,pr2022005002,"[-68.4213, 18.0685, 101]",1.0,2.0,,,0,191,0.32,16.318681318681318
earthquake,1.0,"28 km E of Denali National Park, Alaska",2022-01-05 18:43:49.167,2022-01-31 19:01:32.379,ak0228k2fc4,"[-151.1547, 63.5018, 0.6]",,,,,0,15,0.62,12.857142857142858
earthquake,0.74,"4km NW of The Geysers, CA",2022-01-05 18:22:31.160,2022-01-05 18:50:10.585,nc73674091,"[-122.7873306, 38.7971649, 3.31]",,,,,0,8,0.02,12.5
earthquake,0.54,"17km ESE of Anza, CA",2022-01-05 18:19:16.130,2022-01-05 20:31:55.299,ci39903231,"[-116.4983333, 33.5006667, 14.21]",,,,,0,4,0.16,12.225274725274726
earthquake,4.3,"77 km SW of Yonakuni, Japan",2022-01-05 18:18:44.767,2022-03-12 23:19:22.040,us7000gc01,"[122.5277, 23.916, 10]",,,,,0,284,0.78,17.39010989010989
earthquake,0.84,"6km NW of The Geysers, CA",2022-01-05 18:18:34.890,2022-01-05 18:36:10.491,nc73674081,"[-122.7971649, 38.8149986, 1.48]",,,,,0,11,0.03,12.637362637362637
earthquake,1.4,"33 km SE of Mina, Nevada",2022-01-05 18:16:04.895,2022-01-06 23:01:25.818,nn00831120,"[-117.8166, 38.1918, 0]",,,,,0,30,0.1276,13.406593406593407
earthquake,0.35,"7km NW of The Geysers, CA",2022-01-05 18:09:49.110,2022-01-05 19:23:12.088,nc73674071,"[-122.8050003, 38.824501, 1.36]",,,,,0,2,0.01,11.964285714285715
earthquake,1.3,"25 km ESE of Skwentna, Alaska",2022-01-05 17:58:14.797,2022-01-31 19:01:20.536,ak0228jk4p6,"[-150.9479, 61.8939, 11.5]",,,,,0,26,0.56,13.269230769230768
earthquake,1.4,"10km SW of Searles Valley, CA",2022-01-05 17:52:07.080,2022-01-05 20:14:33.181,ci39903215,"[-117.467, 35.692, 2.68]",,,,,0,30,0.15,13.406593406593407
earthquake,2.03999996,"12 km SE of P?hala, Hawaii",2022-01-05 17:49:09.680,2022-01-05 18:24:36.569,hv72858677,"[-155.379165649414, 19.1343326568604, 28.9099998474121]",1.0,2.0,,,0,64,0.119999997,14.28571423076923
earthquake,1.3,"43 km SSE of Tanana, Alaska",2022-01-05 17:47:30.478,2022-01-31 19:01:32.126,ak0228jht5j,"[-151.6525, 64.8247, 14.2]",,,,,0,26,0.37,13.269230769230768
earthquake,5.0,Vanuatu,2022-01-05 17:43:09.361,2022-03-12 23:19:09.040,us7000g9aj,"[169.6122, -18.9797, 267.22]",,,,,0,385,0.79,18.35164835164835
earthquake,0.37,"10km WNW of The Geysers, CA",2022-01-05 17:42:44.630,2022-01-05 17:56:11.025,nc73674066,"[-122.8544998, 38.8278351, 1.45]",,,,,0,2,0.03,11.991758241758241
earthquake,1.6,"34 km SE of Mina, Nevada",2022-01-05 17:42:30.186,2022-01-06 20:57:36.755,nn00831118,"[-117.8207, 38.1823, 7.1]",,,,,0,39,0.1329,13.681318681318682
earthquake,1.9,"35 km SE of Mina, Nevada",2022-01-05 17:35:46.378,2022-01-06 03:37:34.901,nn00831114,"[-117.8145, 38.1764, 8.4]",,,,,0,56,0.1253,14.093406593406593
earthquake,1.5,"35 km SE of Mina, Nevada",2022-01-05 17:23:31.269,2022-01-06 03:37:33.260,nn00831111,"[-117.8134, 38.1747, 9.4]",,,,,0,35,0.1189,13.543956043956044
earthquake,2.02,"15 km SSE of Sunnyside, Utah",2022-01-05 17:17:53.370,2022-01-05 18:07:47.430,uu60476237,"[-110.3125, 39.4245, -1.33]",,,,,0,63,0.03,14.258241758241759
earthquake,1.3,"34 km SE of Mina, Nevada",2022-01-05 17:06:58.143,2022-01-07 00:47:07.912,nn00831109,"[-117.8073, 38.1834, 6.6]",,,,,0,26,0.1345,13.269230769230768
earthquake,1.2,"33 km E of Denali National Park, Alaska",2022-01-05 17:05:23.270,2022-01-31 19:01:31.867,ak0228j8siv,"[-151.0619, 63.5057, 0.6]",,,,,0,22,0.62,13.131868131868131
earthquake,2.5,"28 km SSW of Akhiok, Alaska",2022-01-05 17:00:16.544,2022-03-12 23:19:25.040,ak0228j7qrq,"[-154.2903, 56.7, 7.2]",,,,,0,96,0.65,14.917582417582416
earthquake,0.79,"16km E of Julian, CA",2022-01-05 16:59:46.970,2022-01-05 18:23:05.553,ci39903183,"[-116.4313333, 33.0791667, 15.91]",,,,,0,10,0.17,12.56868131868132
earthquake,1.3,"77 km NW of Yakutat, Alaska",2022-01-05 16:59:19.780,2022-01-31 19:01:31.614,ak0228iyxbe,"[-140.6302, 60.0749, 10.4]",,,,,0,26,0.65,13.269230769230768
earthquake,2.14,"6km ENE of Kenwood, CA",2022-01-05 16:57:00.740,2022-01-08 06:51:11.305,nc73674061,"[-122.4903333, 38.4381667, 8.5]",,,,,0,70,0.12,14.423076923076923
earthquake,1.9,"17 km NW of Coyanosa, Texas",2022-01-05 16:53:12.492,2022-01-05 21:07:03.551,tx2022aini,"[-103.1954356, 31.35340745, 6.491479492]",,,,,0,56,0.1,14.093406593406593
earthquake,0.03,"2km NW of The Geysers, CA",2022-01-05 16:42:31.870,2022-01-10 23:19:10.732,nc73674051,"[-122.77, 38.7875, 1.5]",,,,,0,0,0.03,11.524725274725276
earthquake,1.29,"20 km SE of Kanarraville, Utah",2022-01-05 16:40:32.500,2022-01-05 18:00:03.070,uu60476212,"[-112.995, 37.4361667, -0.4]",,,,,0,26,0.12,13.255494505494505
earthquake,1.4,"44 km SSE of Tanana, Alaska",2022-01-05 16:35:38.754,2022-01-31 19:01:31.353,ak0228ittlf,"[-151.6251, 64.8229, 10.9]",,,,,0,30,0.48,13.406593406593407
earthquake,4.6,South Sandwich Islands region,2022-01-05 16:23:01.260,2022-03-12 23:19:22.040,us7000gbzz,"[-25.9175, -59.6061, 35]",,,,,0,326,0.92,17.802197802197803
earthquake,4.3,"3 km SW of Pinotepa de Don Luis, Mexico",2022-01-05 16:20:39.101,2022-03-12 23:19:09.040,us7000g9a4,"[-97.9989, 16.4066, 35]",,,,,0,284,1.07,17.39010989010989
earthquake,3.5,"Fox Islands, Aleutian Islands, Alaska",2022-01-05 16:20:16.153,2022-03-12 23:19:25.040,us7000ggqb,"[-166.7867, 53.135, 35]",,,,,0,188,0.5,16.291208791208792
earthquake,1.07,"8km WNW of Cobb, CA",2022-01-05 16:15:19.620,2022-01-05 16:56:11.347,nc73674046,"[-122.8073349, 38.8581657, 1.3]",,,,,0,18,0.03,12.953296703296704
earthquake,1.5,"12 km SW of Knik River, Alaska",2022-01-05 16:04:34.942,2022-01-31 19:01:19.708,ak0228in5zs,"[-149.0584, 61.376, 22.1]",,,,,0,35,0.46,13.543956043956044
earthquake,1.0,"5 km SW of Manley Hot Springs, Alaska",2022-01-05 15:45:17.092,2022-01-31 19:01:31.083,ak0228iahh9,"[-150.7244, 64.9751, 2.9]",,,,,0,15,0.45,12.857142857142858
earthquake,2.3,"10 km SW of Manley Hot Springs, Alaska",2022-01-05 15:39:32.364,2022-01-31 19:01:19.405,ak0228i98g3,"[-150.8154, 64.9421, 14.2]",,,,,0,81,0.56,14.642857142857142
earthquake,3.2,"87 km S of Unalaska, Alaska",2022-01-05 15:38:53.312,2022-03-12 23:19:25.040,us7000ggqa,"[-166.7607, 53.1032, 35]",,,,,0,158,0.33,15.87912087912088
